Subject,measurement_1,measurement_2
4199,4608,3422
8078,4875,4477
8802,2650,9400
8021,6506,1385
9864,1216,8357
2294,3599,4668
7396,5046,5660
2557,4684,9923
5904,7429,8717
2096,5226,3608
1719,4051,3005
4749,4683,6744
2299,2281,9997
6449,2325,2739
8124,1456,7849
7844,4625,3269
5048,7552,6104
8479,9749,7615
9369,1379,2698
5162,7204,3081
3426,8499,9335
7085,3893,4031
