Subject,Group,120_3s,120_Inf,150_3s,150_Inf,180_3s,180_Inf,30_3s,30_Inf,60_3s,60_Inf,90_3s,90_Inf
1089,VR,0.7777777777777778,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.38888888888888884,0.5555555555555555,0.4444444444444445,0.5555555555555555,0.5555555555555555,0.5,0.4444444444444444,0.611111111111111
1155,VR,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.5,0.4444444444444444,0.5555555555555555,0.4444444444444444,0.5,0.611111111111111,0.5555555555555555,0.38888888888888884,0.7777777777777778
1719,map,0.38888888888888884,0.6111111111111112,0.3333333333333333,0.5,0.6666666666666666,0.38888888888888884,0.7222222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444445,0.3333333333333333,0.49999999999999994
2044,VR,0.5,0.6111111111111112,0.4444444444444444,0.6111111111111112,0.5555555555555555,0.5,0.49999999999999994,0.5555555555555555,0.5555555555555555,0.5555555555555555,0.2222222222222222,0.4444444444444444
2096,map,0.611111111111111,0.6666666666666666,0.3888888888888889,0.7222222222222222,0.38888888888888884,0.6111111111111112,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.7222222222222222,0.38888888888888884,0.5
2294,map,0.38888888888888884,0.5555555555555556,0.38888888888888884,0.4444444444444444,0.611111111111111,0.3888888888888889,0.38888888888888884,0.3888888888888889,0.5555555555555555,0.5,0.5,0.4444444444444444
2299,map,0.6666666666666666,0.611111111111111,0.4444444444444444,0.7222222222222222,0.611111111111111,0.7222222222222222,0.5555555555555556,0.38888888888888884,0.4444444444444444,0.5,0.5,0.6666666666666666
2557,map,0.3333333333333333,0.7222222222222223,0.611111111111111,0.5,0.3888888888888889,0.5,0.5555555555555555,0.611111111111111,0.6111111111111112,0.5,0.49999999999999994,0.611111111111111
3023,VR,0.6666666666666666,0.888888888888889,0.7222222222222222,0.7777777777777777,0.7222222222222222,0.8333333333333334,0.38888888888888884,0.5,0.5,0.7777777777777778,0.7222222222222223,0.8333333333333334
3426,map,0.611111111111111,0.9444444444444445,0.8333333333333334,0.888888888888889,0.7777777777777778,0.6111111111111112,0.5000000000000001,0.5,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.611111111111111
3743,VR,0.49999999999999994,0.4444444444444444,0.5,0.8333333333333334,0.5555555555555555,0.8333333333333334,0.5,0.7777777777777778,0.4444444444444444,0.6666666666666666,0.5555555555555555,0.7222222222222222
4199,map,0.6666666666666666,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.5,0.7777777777777778,0.611111111111111,0.611111111111111,0.4444444444444444,0.7222222222222222,0.611111111111111,0.7777777777777778
4272,VR,0.5,0.6111111111111112,0.5,0.5,0.4444444444444444,0.611111111111111,0.27777777777777773,0.4444444444444444,0.5,0.5555555555555555,0.38888888888888884,0.611111111111111
4749,map,0.6666666666666666,0.6666666666666666,0.611111111111111,0.7222222222222223,0.4444444444444444,0.611111111111111,0.6111111111111112,0.6111111111111112,0.6666666666666666,0.7222222222222222,0.7777777777777777,0.7222222222222222
5048,map,0.6666666666666666,0.5555555555555555,0.6111111111111112,0.4444444444444444,0.4444444444444444,0.5,0.27777777777777773,0.4444444444444444,0.38888888888888884,0.27777777777777773,0.7222222222222223,0.6111111111111112
