0_3s,0_Inf,120_3s,120_Inf,150_3s,150_Inf,180_3s,180_Inf,30_3s,30_Inf,60_3s,60_Inf,90_3s,90_Inf
0.75,0.5,0.25,0.42857142857142855,0.0,0.5714285714285714,0.6666666666666666,0.75,0.8333333333333334,1.0,0.8571428571428571,0.4,0.16666666666666666,0.6666666666666666
1.0,1.0,0.25,0.5714285714285714,0.3333333333333333,0.42857142857142855,0.0,0.0,0.8333333333333334,0.6,0.7142857142857143,0.8,0.3333333333333333,1.0
0.75,0.5,0.25,0.42857142857142855,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.5,0.8333333333333334,0.8,0.5714285714285714,0.4,0.8333333333333334,0.3333333333333333
0.0,0.5,0.5,0.5714285714285714,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.75,0.3333333333333333,0.8,0.5714285714285714,1.0,0.8333333333333334,0.8333333333333334
0.5,0.5,0.5,0.5714285714285714,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5714285714285714,0.4,0.6666666666666666,0.3333333333333333
0.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.5714285714285714,1.0,1.0,1.0,0.6,0.8571428571428571,0.8,1.0,1.0
1.0,1.0,0.75,0.7142857142857143,0.5,0.8571428571428571,0.6666666666666666,1.0,0.8333333333333334,0.8,0.2857142857142857,0.6,0.6666666666666666,0.5
1.0,1.0,0.5,0.7142857142857143,0.5,0.8571428571428571,0.6666666666666666,1.0,0.5,0.2,0.2857142857142857,0.8,0.6666666666666666,0.8333333333333334
0.25,0.5,0.25,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.0,0.3333333333333333,0.8,0.8571428571428571,0.4,0.5,0.8333333333333334
0.5,0.5,0.5,0.14285714285714285,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.25,0.3333333333333333,0.2,0.2857142857142857,0.6,0.3333333333333333,0.16666666666666666
0.25,0.5,0.5,0.2857142857142857,0.6666666666666666,0.14285714285714285,0.0,0.0,0.16666666666666666,0.6,0.5714285714285714,0.4,0.5,0.3333333333333333
0.5,0.0,0.5,0.14285714285714285,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.25,0.5,1.0,0.42857142857142855,0.6,0.6666666666666666,0.6666666666666666
1.0,1.0,0.5,0.7142857142857143,1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.8,0.8571428571428571,1.0,0.6666666666666666,1.0
0.75,1.0,0.75,0.2857142857142857,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.75,0.5,0.8,0.7142857142857143,0.4,0.3333333333333333,0.16666666666666666
1.0,1.0,0.5,0.2857142857142857,0.16666666666666666,0.5714285714285714,0.6666666666666666,0.75,0.8333333333333334,1.0,0.7142857142857143,0.2,0.3333333333333333,0.8333333333333334
1.0,0.5,0.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.75,0.5,0.8,0.5714285714285714,0.8,0.8333333333333334,0.5
0.25,1.0,0.75,0.42857142857142855,0.16666666666666666,0.7142857142857143,0.0,1.0,1.0,0.8,0.42857142857142855,0.6,0.6666666666666666,0.8333333333333334
0.5,1.0,0.75,1.0,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.75,0.6666666666666666,0.8,0.8571428571428571,0.8,0.8333333333333334,1.0
0.75,0.5,0.5,0.42857142857142855,0.16666666666666666,0.7142857142857143,0.3333333333333333,0.5,0.8333333333333334,0.6,0.7142857142857143,0.6,0.5,0.5
0.5,1.0,0.25,0.7142857142857143,0.5,0.5714285714285714,0.0,0.75,0.3333333333333333,0.4,0.42857142857142855,0.6,0.5,0.5
0.25,0.5,0.75,1.0,0.5,0.7142857142857143,0.3333333333333333,0.75,0.6666666666666666,0.4,0.7142857142857143,0.8,0.6666666666666666,0.5
1.0,1.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.8,0.8571428571428571,0.4,0.5,0.6666666666666666
