Subject,Task,Time,Accuracy,Group
1719,Absolute,3s,0.5,Map
1719,Absolute,Inf,0.6111111111111112,Map
2096,Absolute,3s,0.5277777777777778,Map
2096,Absolute,Inf,0.6111111111111112,Map
2294,Absolute,3s,0.5555555555555556,Map
2294,Absolute,Inf,0.4722222222222222,Map
2299,Absolute,3s,0.4166666666666667,Map
2299,Absolute,Inf,0.6944444444444444,Map
2557,Absolute,3s,0.4722222222222222,Map
2557,Absolute,Inf,0.5833333333333334,Map
3426,Absolute,3s,0.75,Map
3426,Absolute,Inf,0.7777777777777778,Map
4199,Absolute,3s,0.6388888888888888,Map
4199,Absolute,Inf,0.75,Map
4749,Absolute,3s,0.5555555555555556,Map
4749,Absolute,Inf,0.75,Map
5048,Absolute,3s,0.5,Map
5048,Absolute,Inf,0.4722222222222222,Map
5162,Absolute,3s,0.4166666666666667,Map
5162,Absolute,Inf,0.3611111111111111,Map
5904,Absolute,3s,0.4166666666666667,Map
5904,Absolute,Inf,0.3055555555555556,Map
6449,Absolute,3s,0.4722222222222222,Map
6449,Absolute,Inf,0.5277777777777778,Map
7085,Absolute,3s,0.8333333333333334,Map
7085,Absolute,Inf,0.8888888888888888,Map
7396,Absolute,3s,0.5277777777777778,Map
7396,Absolute,Inf,0.4166666666666667,Map
7844,Absolute,3s,0.5833333333333334,Map
7844,Absolute,Inf,0.6111111111111112,Map
8021,Absolute,3s,0.5277777777777778,Map
8021,Absolute,Inf,0.5833333333333334,Map
8078,Absolute,3s,0.5,Map
8078,Absolute,Inf,0.7222222222222222,Map
8124,Absolute,3s,0.7222222222222222,Map
8124,Absolute,Inf,0.8888888888888888,Map
8479,Absolute,3s,0.5555555555555556,Map
8479,Absolute,Inf,0.5555555555555556,Map
8802,Absolute,3s,0.3888888888888889,Map
8802,Absolute,Inf,0.6111111111111112,Map
9369,Absolute,3s,0.5833333333333334,Map
9369,Absolute,Inf,0.6944444444444444,Map
9864,Absolute,3s,0.5833333333333334,Map
9864,Absolute,Inf,0.3333333333333333,Map
1719,Relative,3s,0.5,Map
1719,Relative,Inf,0.3888888888888889,Map
2096,Relative,3s,0.5277777777777778,Map
2096,Relative,Inf,0.6111111111111112,Map
2294,Relative,3s,0.3333333333333333,Map
2294,Relative,Inf,0.5277777777777778,Map
2299,Relative,3s,0.7222222222222222,Map
2299,Relative,Inf,0.5833333333333334,Map
2557,Relative,3s,0.6944444444444444,Map
2557,Relative,Inf,0.5277777777777778,Map
3426,Relative,3s,0.75,Map
3426,Relative,Inf,0.6944444444444444,Map
4199,Relative,3s,0.6111111111111112,Map
4199,Relative,Inf,0.7222222222222222,Map
4749,Relative,3s,0.7777777777777778,Map
4749,Relative,Inf,0.75,Map
5048,Relative,3s,0.5833333333333334,Map
5048,Relative,Inf,0.5277777777777778,Map
5162,Relative,3s,0.5833333333333334,Map
5162,Relative,Inf,0.4444444444444444,Map
5904,Relative,3s,0.5833333333333334,Map
5904,Relative,Inf,0.5,Map
6449,Relative,3s,0.6666666666666666,Map
6449,Relative,Inf,0.5555555555555556,Map
7085,Relative,3s,0.8055555555555556,Map
7085,Relative,Inf,0.8333333333333334,Map
7396,Relative,3s,0.4166666666666667,Map
7396,Relative,Inf,0.6944444444444444,Map
7844,Relative,3s,0.5277777777777778,Map
7844,Relative,Inf,0.5833333333333334,Map
8021,Relative,3s,0.5277777777777778,Map
8021,Relative,Inf,0.5277777777777778,Map
8078,Relative,3s,0.6111111111111112,Map
8078,Relative,Inf,0.7777777777777778,Map
8124,Relative,3s,0.8055555555555556,Map
8124,Relative,Inf,0.8333333333333334,Map
