Accuracy,PrimeNr,Subject,TargetNr,TargetNr_wrong,Task,Time,Group
False,137.0,1155,,,Absolute,Inf,VR
True,162.0,1155,,,Absolute,Inf,VR
False,69.0,1155,,,Absolute,Inf,VR
True,172.0,1155,,,Absolute,Inf,VR
True,112.0,8547,,,Absolute,3s,VR
True,168.0,8547,,,Absolute,3s,VR
True,118.0,8547,,,Absolute,3s,VR
False,155.0,8547,,,Absolute,3s,VR
False,176.0,8547,,,Absolute,3s,VR
False,17.0,8547,,,Absolute,3s,VR
False,108.0,8547,,,Absolute,3s,VR
True,154.0,8547,,,Absolute,3s,VR
True,140.0,8547,,,Absolute,3s,VR
True,91.0,8547,,,Absolute,3s,VR
False,145.0,8547,,,Absolute,3s,VR
True,70.0,8547,,,Absolute,3s,VR
False,56.0,8547,,,Absolute,3s,VR
False,55.0,8547,,,Absolute,3s,VR
True,134.0,8547,,,Absolute,3s,VR
False,194.0,8547,,,Absolute,3s,VR
True,178.0,8547,,,Absolute,3s,VR
False,58.0,8547,,,Absolute,3s,VR
True,170.0,8547,,,Absolute,3s,VR
False,167.0,8547,,,Absolute,3s,VR
True,136.0,8547,,,Absolute,3s,VR
False,177.0,8547,,,Absolute,3s,VR
False,196.0,8547,,,Absolute,3s,VR
True,147.0,8547,,,Absolute,3s,VR
False,57.0,8547,,,Absolute,3s,VR
False,132.0,8547,,,Absolute,3s,VR
True,121.0,8547,,,Absolute,3s,VR
False,171.0,8547,,,Absolute,3s,VR
False,53.0,8547,,,Absolute,3s,VR
False,10.0,8547,,,Absolute,3s,VR
False,139.0,8547,,,Absolute,3s,VR
True,122.0,8547,,,Absolute,3s,VR
True,128.0,8547,,,Absolute,3s,VR
False,34.0,8547,,,Absolute,3s,VR
False,74.0,8547,,,Absolute,3s,VR
False,62.0,8547,,,Absolute,3s,VR
True,124.0,8547,,,Absolute,Inf,VR
True,149.0,8547,,,Absolute,Inf,VR
True,69.0,8547,,,Absolute,Inf,VR
True,159.0,8547,,,Absolute,Inf,VR
True,16.0,8547,,,Absolute,Inf,VR
True,39.0,8547,,,Absolute,Inf,VR
True,103.0,8547,,,Absolute,Inf,VR
True,169.0,8547,,,Absolute,Inf,VR
True,115.0,8547,,,Absolute,Inf,VR
False,183.0,8547,,,Absolute,Inf,VR
True,153.0,8547,,,Absolute,Inf,VR
True,6.0,8547,,,Absolute,Inf,VR
False,137.0,8547,,,Absolute,Inf,VR
True,152.0,8547,,,Absolute,Inf,VR
True,32.0,8547,,,Absolute,Inf,VR
False,54.0,8547,,,Absolute,Inf,VR
True,8.0,8547,,,Absolute,Inf,VR
False,96.0,8547,,,Absolute,Inf,VR
False,102.0,8547,,,Absolute,Inf,VR
False,172.0,8547,,,Absolute,Inf,VR
True,162.0,8547,,,Absolute,Inf,VR
True,130.0,8547,,,Absolute,Inf,VR
True,126.0,8547,,,Absolute,Inf,VR
False,197.0,8547,,,Absolute,Inf,VR
True,60.0,8547,,,Absolute,Inf,VR
False,106.0,8547,,,Absolute,Inf,VR
False,148.0,8547,,,Absolute,Inf,VR
False,138.0,8547,,,Absolute,Inf,VR
True,123.0,8547,,,Absolute,Inf,VR
False,113.0,8547,,,Absolute,Inf,VR
True,133.0,8547,,,Absolute,Inf,VR
True,63.0,8547,,,Absolute,Inf,VR
True,181.0,8547,,,Absolute,Inf,VR
False,12.0,8547,,,Absolute,Inf,VR
True,175.0,8547,,,Absolute,Inf,VR
False,29.0,8547,,,Absolute,Inf,VR
True,196.0,8261,,,Absolute,3s,VR
False,10.0,8261,,,Absolute,3s,VR
True,170.0,8261,,,Absolute,3s,VR
False,121.0,8261,,,Absolute,3s,VR
True,62.0,8261,,,Absolute,3s,VR
True,55.0,8261,,,Absolute,3s,VR
False,108.0,8261,,,Absolute,3s,VR
True,128.0,8261,,,Absolute,3s,VR
False,136.0,8261,,,Absolute,3s,VR
False,178.0,8261,,,Absolute,3s,VR
True,145.0,8261,,,Absolute,3s,VR
False,139.0,8261,,,Absolute,3s,VR
False,167.0,8261,,,Absolute,3s,VR
True,56.0,8261,,,Absolute,3s,VR
False,91.0,8261,,,Absolute,3s,VR
False,132.0,8261,,,Absolute,3s,VR
False,112.0,8261,,,Absolute,3s,VR
True,57.0,8261,,,Absolute,3s,VR
True,118.0,8261,,,Absolute,3s,VR
False,17.0,8261,,,Absolute,3s,VR
False,134.0,8261,,,Absolute,3s,VR
False,168.0,8261,,,Absolute,3s,VR
True,122.0,8261,,,Absolute,3s,VR
False,194.0,8261,,,Absolute,3s,VR
True,140.0,8261,,,Absolute,3s,VR
True,74.0,8261,,,Absolute,3s,VR
True,53.0,8261,,,Absolute,3s,VR
False,155.0,8261,,,Absolute,3s,VR
True,177.0,8261,,,Absolute,3s,VR
True,147.0,8261,,,Absolute,3s,VR
False,70.0,8261,,,Absolute,3s,VR
True,176.0,8261,,,Absolute,3s,VR
True,34.0,8261,,,Absolute,3s,VR
True,171.0,8261,,,Absolute,3s,VR
False,58.0,8261,,,Absolute,3s,VR
False,154.0,8261,,,Absolute,3s,VR
True,126.0,8261,,,Absolute,Inf,VR
True,113.0,8261,,,Absolute,Inf,VR
True,153.0,8261,,,Absolute,Inf,VR
True,54.0,8261,,,Absolute,Inf,VR
True,172.0,8261,,,Absolute,Inf,VR
True,159.0,8261,,,Absolute,Inf,VR
False,183.0,8261,,,Absolute,Inf,VR
True,63.0,8261,,,Absolute,Inf,VR
True,12.0,8261,,,Absolute,Inf,VR
True,60.0,8261,,,Absolute,Inf,VR
True,29.0,8261,,,Absolute,Inf,VR
False,148.0,8261,,,Absolute,Inf,VR
True,175.0,8261,,,Absolute,Inf,VR
True,102.0,8261,,,Absolute,Inf,VR
True,123.0,8261,,,Absolute,Inf,VR
True,133.0,8261,,,Absolute,Inf,VR
False,137.0,8261,,,Absolute,Inf,VR
True,130.0,8261,,,Absolute,Inf,VR
False,152.0,8261,,,Absolute,Inf,VR
True,169.0,8261,,,Absolute,Inf,VR
True,115.0,8261,,,Absolute,Inf,VR
True,181.0,8261,,,Absolute,Inf,VR
False,6.0,8261,,,Absolute,Inf,VR
True,69.0,8261,,,Absolute,Inf,VR
True,32.0,8261,,,Absolute,Inf,VR
True,106.0,8261,,,Absolute,Inf,VR
False,16.0,8261,,,Absolute,Inf,VR
True,39.0,8261,,,Absolute,Inf,VR
True,162.0,8261,,,Absolute,Inf,VR
True,197.0,8261,,,Absolute,Inf,VR
True,138.0,8261,,,Absolute,Inf,VR
False,103.0,8261,,,Absolute,Inf,VR
False,149.0,8261,,,Absolute,Inf,VR
False,96.0,8261,,,Absolute,Inf,VR
False,124.0,8261,,,Absolute,Inf,VR
False,8.0,8261,,,Absolute,Inf,VR
True,56.0,3023,,,Absolute,3s,VR
True,147.0,3023,,,Absolute,3s,VR
False,53.0,3023,,,Absolute,3s,VR
True,118.0,3023,,,Absolute,3s,VR
True,108.0,3023,,,Absolute,3s,VR
True,155.0,3023,,,Absolute,3s,VR
True,112.0,3023,,,Absolute,3s,VR
True,136.0,3023,,,Absolute,3s,VR
True,122.0,3023,,,Absolute,3s,VR
True,154.0,3023,,,Absolute,3s,VR
False,70.0,3023,,,Absolute,3s,VR
True,91.0,3023,,,Absolute,3s,VR
True,55.0,3023,,,Absolute,3s,VR
True,145.0,3023,,,Absolute,3s,VR
True,134.0,3023,,,Absolute,3s,VR
True,62.0,3023,,,Absolute,3s,VR
True,121.0,3023,,,Absolute,3s,VR
True,128.0,3023,,,Absolute,3s,VR
True,168.0,3023,,,Absolute,3s,VR
False,58.0,3023,,,Absolute,3s,VR
True,74.0,3023,,,Absolute,3s,VR
False,139.0,3023,,,Absolute,3s,VR
False,176.0,3023,,,Absolute,3s,VR
True,177.0,3023,,,Absolute,3s,VR
False,194.0,3023,,,Absolute,3s,VR
True,170.0,3023,,,Absolute,3s,VR
False,171.0,3023,,,Absolute,3s,VR
True,10.0,3023,,,Absolute,3s,VR
False,167.0,3023,,,Absolute,3s,VR
False,17.0,3023,,,Absolute,3s,VR
False,57.0,3023,,,Absolute,3s,VR
False,140.0,3023,,,Absolute,3s,VR
False,196.0,3023,,,Absolute,3s,VR
True,178.0,3023,,,Absolute,3s,VR
